"organism";"atb_acronim";"phenotypes";"count"
"Citrobacter freundii";"AMC_30";"BL non-wild-type";14
"Citrobacter freundii";"AMP_10";"BL non-wild-type";14
"Citrobacter freundii";"CPD_10";"BL non-wild-type";14
"Citrobacter freundii";"CRO_30";"BL non-wild-type";14
"Citrobacter freundii";"CXM_30";"BL non-wild-type";14
"Citrobacter freundii";"FEP_30";"BL non-wild-type";14
"Citrobacter freundii";"FOX_30";"BL non-wild-type";14
"Citrobacter freundii";"MEM_10";"BL non-wild-type";14
"Citrobacter freundii";"TEM_30";"BL non-wild-type";14
"Citrobacter freundii";"TZP_36";"BL non-wild-type";14
"Citrobacter koseri";"AMC_30";"BL non-wild-type";2
"Citrobacter koseri";"AMP_10";"BL non-wild-type";2
"Citrobacter koseri";"CPD_10";"BL non-wild-type";2
"Citrobacter koseri";"CRO_30";"BL non-wild-type";2
"Citrobacter koseri";"CXM_30";"BL non-wild-type";2
"Citrobacter koseri";"FEP_30";"BL non-wild-type";2
"Citrobacter koseri";"FOX_30";"BL non-wild-type";2
"Citrobacter koseri";"MEM_10";"BL non-wild-type";2
"Citrobacter koseri";"TEM_30";"BL non-wild-type";2
"Citrobacter koseri";"TZP_36";"BL non-wild-type";2
"Enterobacter aerogenes";"AMC_30";"BL non-wild-type";14
"Enterobacter aerogenes";"AMP_10";"BL non-wild-type";14
"Enterobacter aerogenes";"CPD_10";"BL non-wild-type";14
"Enterobacter aerogenes";"CRO_30";"BL non-wild-type";14
"Enterobacter aerogenes";"CXM_30";"BL non-wild-type";14
"Enterobacter aerogenes";"FEP_30";"BL non-wild-type";14
"Enterobacter aerogenes";"FOX_30";"BL non-wild-type";14
"Enterobacter aerogenes";"MEM_10";"BL non-wild-type";14
"Enterobacter aerogenes";"TEM_30";"BL non-wild-type";14
"Enterobacter aerogenes";"TZP_36";"BL non-wild-type";14
"Enterobacter spp";"AMC_30";"BL non-wild-type";1
"Enterobacter spp";"AMP_10";"BL non-wild-type";1
"Enterobacter spp";"CPD_10";"BL non-wild-type";1
"Enterobacter spp";"CRO_30";"BL non-wild-type";1
"Enterobacter spp";"CXM_30";"BL non-wild-type";1
"Enterobacter spp";"FEP_30";"BL non-wild-type";1
"Enterobacter spp";"FOX_30";"BL non-wild-type";1
"Enterobacter spp";"MEM_10";"BL non-wild-type";1
"Enterobacter spp";"TEM_30";"BL non-wild-type";1
"Enterobacter spp";"TZP_36";"BL non-wild-type";1
"Escherichia coli";"AMC_30";"BL non-wild-type";31
"Escherichia coli";"AMP_10";"BL non-wild-type";31
"Escherichia coli";"CPD_10";"BL non-wild-type";31
"Escherichia coli";"CRO_30";"BL non-wild-type";31
"Escherichia coli";"CXM_30";"BL non-wild-type";31
"Escherichia coli";"FEP_30";"BL non-wild-type";31
"Escherichia coli";"FOX_30";"BL non-wild-type";31
"Escherichia coli";"MEM_10";"BL non-wild-type";31
"Escherichia coli";"TEM_30";"BL non-wild-type";30
"Escherichia coli";"TZP_36";"BL non-wild-type";31
"Hafnia alvei";"AMC_30";"BL non-wild-type";4
"Hafnia alvei";"AMP_10";"BL non-wild-type";4
"Hafnia alvei";"CPD_10";"BL non-wild-type";4
"Hafnia alvei";"CRO_30";"BL non-wild-type";4
"Hafnia alvei";"CXM_30";"BL non-wild-type";4
"Hafnia alvei";"FEP_30";"BL non-wild-type";4
"Hafnia alvei";"FOX_30";"BL non-wild-type";4
"Hafnia alvei";"MEM_10";"BL non-wild-type";4
"Hafnia alvei";"TEM_30";"BL non-wild-type";4
"Hafnia alvei";"TZP_36";"BL non-wild-type";4
"Klebsiella oxytoca";"AMC_30";"BL non-wild-type";2
"Klebsiella oxytoca";"AMP_10";"BL non-wild-type";2
"Klebsiella oxytoca";"CPD_10";"BL non-wild-type";2
"Klebsiella oxytoca";"CRO_30";"BL non-wild-type";2
"Klebsiella oxytoca";"CXM_30";"BL non-wild-type";2
"Klebsiella oxytoca";"FEP_30";"BL non-wild-type";2
"Klebsiella oxytoca";"FOX_30";"BL non-wild-type";2
"Klebsiella oxytoca";"MEM_10";"BL non-wild-type";2
"Klebsiella oxytoca";"TEM_30";"BL non-wild-type";2
"Klebsiella oxytoca";"TZP_36";"BL non-wild-type";2
"Klebsiella pneumoniae";"AMC_30";"BL non-wild-type";55
"Klebsiella pneumoniae";"AMP_10";"BL non-wild-type";55
"Klebsiella pneumoniae";"CPD_10";"BL non-wild-type";55
"Klebsiella pneumoniae";"CRO_30";"BL non-wild-type";55
"Klebsiella pneumoniae";"CXM_30";"BL non-wild-type";55
"Klebsiella pneumoniae";"FEP_30";"BL non-wild-type";55
"Klebsiella pneumoniae";"FOX_30";"BL non-wild-type";55
"Klebsiella pneumoniae";"MEM_10";"BL non-wild-type";55
"Klebsiella pneumoniae";"TEM_30";"BL non-wild-type";51
"Klebsiella pneumoniae";"TZP_36";"BL non-wild-type";55
"Morganella morganii";"AK_30";"AG non-wild-type";1
"Morganella morganii";"AMC_30";"BL non-wild-type";1
"Morganella morganii";"AMP_10";"BL non-wild-type";1
"Morganella morganii";"CN_10";"AG non-wild-type";1
"Morganella morganii";"CPD_10";"BL non-wild-type";1
"Morganella morganii";"CRO_30";"BL non-wild-type";1
"Morganella morganii";"CXM_30";"BL non-wild-type";1
"Morganella morganii";"FEP_30";"BL non-wild-type";1
"Morganella morganii";"FOX_30";"BL non-wild-type";1
"Morganella morganii";"K_30";"AG non-wild-type";1
"Morganella morganii";"MEM_10";"BL non-wild-type";1
"Morganella morganii";"TEM_30";"BL non-wild-type";1
"Morganella morganii";"TOB_10";"AG non-wild-type";1
"Morganella morganii";"TZP_36";"BL non-wild-type";1
"Pantoea spp";"AMC_30";"BL non-wild-type";1
"Pantoea spp";"AMP_10";"BL non-wild-type";1
"Pantoea spp";"CPD_10";"BL non-wild-type";1
"Pantoea spp";"CRO_30";"BL non-wild-type";1
"Pantoea spp";"CXM_30";"BL non-wild-type";1
"Pantoea spp";"FEP_30";"BL non-wild-type";1
"Pantoea spp";"FOX_30";"BL non-wild-type";1
"Pantoea spp";"MEM_10";"BL non-wild-type";1
"Pantoea spp";"TEM_30";"BL non-wild-type";1
"Pantoea spp";"TZP_36";"BL non-wild-type";1
"Proteus mirabilis";"AMC_30";"BL non-wild-type";1
"Proteus mirabilis";"AMP_10";"BL non-wild-type";1
"Proteus mirabilis";"CPD_10";"BL non-wild-type";1
"Proteus mirabilis";"CRO_30";"BL non-wild-type";1
"Proteus mirabilis";"CXM_30";"BL non-wild-type";1
"Proteus mirabilis";"FEP_30";"BL non-wild-type";1
"Proteus mirabilis";"FOX_30";"BL non-wild-type";1
"Proteus mirabilis";"MEM_10";"BL non-wild-type";1
"Proteus mirabilis";"TEM_30";"BL non-wild-type";1
"Proteus mirabilis";"TZP_36";"BL non-wild-type";1
"Serratia marcescens";"AMC_30";"BL non-wild-type";5
"Serratia marcescens";"AMP_10";"BL non-wild-type";5
"Serratia marcescens";"CPD_10";"BL non-wild-type";5
"Serratia marcescens";"CRO_30";"BL non-wild-type";5
"Serratia marcescens";"CXM_30";"BL non-wild-type";5
"Serratia marcescens";"FEP_30";"BL non-wild-type";5
"Serratia marcescens";"FOX_30";"BL non-wild-type";5
"Serratia marcescens";"MEM_10";"BL non-wild-type";5
"Serratia marcescens";"TEM_30";"BL non-wild-type";5
"Serratia marcescens";"TZP_36";"BL non-wild-type";5
"Staphylococcus aureus";"DA_2";"MLS non-wild-type";9
"Staphylococcus aureus";"E_15";"MLS non-wild-type";9
"Staphylococcus aureus";"FD_10";"FA non-wild-type";34
"Staphylococcus aureus";"FOX_30";"BL non-wild-type";3
"Staphylococcus aureus";"P_1";"BL non-wild-type";3
"Staphylococcus aureus";"RD_5";"RIF non-wild-type";58
"Staphylococcus aureus";"SXT_25";"SXT non-wild-type";9
"Staphylococcus aureus MRSA";"FD_10";"FA non-wild-type";3
"Staphylococcus aureus MRSA";"RD_5";"RIF non-wild-type";4
"Staphylococcus epidermidis";"DA_2";"MLS non-wild-type";18
"Staphylococcus epidermidis";"E_15";"MLS non-wild-type";18
"Staphylococcus epidermidis";"FD_10";"FA non-wild-type";150
"Staphylococcus epidermidis";"RD_5";"RIF non-wild-type";153
